Tarih;Mevduat_Yüzde
04.01.2013;7,23
11.01.2013;7,19
18.01.2013;7,20
25.01.2013;7,06
01.02.2013;7,04
08.02.2013;6,88
15.02.2013;6,85
22.02.2013;6,70
01.03.2013;6,63
08.03.2013;6,47
15.03.2013;6,54
22.03.2013;6,51
29.03.2013;6,59
05.04.2013;6,53
12.04.2013;6,50
19.04.2013;6,34
26.04.2013;6,26
03.05.2013;6,19
10.05.2013;6,16
17.05.2013;6,03
24.05.2013;5,76
31.05.2013;5,59
07.06.2013;5,74
14.06.2013;5,92
21.06.2013;6,17
28.06.2013;6,72
05.07.2013;6,63
12.07.2013;6,95
19.07.2013;7,05
26.07.2013;7,15
02.08.2013;7,43
09.08.2013;7,26
16.08.2013;7,75
23.08.2013;7,60
30.08.2013;7,77
06.09.2013;7,91
13.09.2013;7,82
20.09.2013;8,08
27.09.2013;8,14
04.10.2013;7,88
11.10.2013;7,98
18.10.2013;7,41
25.10.2013;7,84
01.11.2013;7,46
08.11.2013;7,52
15.11.2013;7,67
22.11.2013;7,55
29.11.2013;7,69
06.12.2013;7,57
13.12.2013;7,88
20.12.2013;7,99
27.12.2013;8,04
03.01.2014;8,06
10.01.2014;7,81
17.01.2014;8,01
24.01.2014;7,90
31.01.2014;9,20
07.02.2014;9,75
14.02.2014;10,00
21.02.2014;10,03
28.02.2014;10,12
07.03.2014;10,42
14.03.2014;10,45
21.03.2014;10,69
28.03.2014;10,90
04.04.2014;10,73
11.04.2014;10,53
18.04.2014;10,27
25.04.2014;10,20
02.05.2014;10,11
09.05.2014;10,14
16.05.2014;9,99
23.05.2014;9,87
30.05.2014;9,67
06.06.2014;9,64
13.06.2014;9,60
20.06.2014;9,57
27.06.2014;9,52
04.07.2014;9,14
11.07.2014;9,02
18.07.2014;8,88
25.07.2014;8,62
01.08.2014;8,40
08.08.2014;8,56
15.08.2014;8,55
22.08.2014;8,56
29.08.2014;8,56
05.09.2014;8,46
12.09.2014;8,59
19.09.2014;8,67
26.09.2014;8,66
03.10.2014;8,70
10.10.2014;8,61
17.10.2014;8,85
24.10.2014;8,85
31.10.2014;8,78
07.11.2014;8,84
14.11.2014;8,89
21.11.2014;8,96
28.11.2014;8,96
05.12.2014;8,84
12.12.2014;9,04
19.12.2014;9,23
26.12.2014;9,49
02.01.2015;9,43
09.01.2015;9,22
16.01.2015;9,09
23.01.2015;9,04
30.01.2015;8,98
06.02.2015;8,88
13.02.2015;9,03
20.02.2015;9,10
27.02.2015;9,09
06.03.2015;9,07
13.03.2015;9,24
20.03.2015;9,34
27.03.2015;9,40
03.04.2015;9,42
10.04.2015;9,50
17.04.2015;9,52
24.04.2015;9,50
01.05.2015;9,63
08.05.2015;9,71
15.05.2015;9,72
22.05.2015;9,48
29.05.2015;9,58
05.06.2015;9,66
12.06.2015;9,71
19.06.2015;9,87
26.06.2015;9,88
03.07.2015;9,99
10.07.2015;9,91
17.07.2015;8,56
24.07.2015;9,93
31.07.2015;10,00
07.08.2015;9,99
14.08.2015;10,10
21.08.2015;10,06
28.08.2015;10,28
04.09.2015;10,19
11.09.2015;10,28
18.09.2015;10,58
25.09.2015;11,14
02.10.2015;10,80
09.10.2015;10,64
16.10.2015;10,52
23.10.2015;10,46
30.10.2015;10,40
06.11.2015;10,46
13.11.2015;10,46
20.11.2015;10,44
27.11.2015;10,45
04.12.2015;10,37
11.12.2015;10,59
18.12.2015;10,88
25.12.2015;10,97
01.01.2016;11,15
08.01.2016;10,85
15.01.2016;10,73
22.01.2016;10,78
29.01.2016;10,75
05.02.2016;10,87
12.02.2016;10,99
19.02.2016;11,06
26.02.2016;11,15
04.03.2016;10,97
11.03.2016;10,98
18.03.2016;11,07
25.03.2016;11,03
01.04.2016;11,08
08.04.2016;10,97
15.04.2016;10,84
22.04.2016;10,64
29.04.2016;10,54
06.05.2016;10,47
13.05.2016;10,54
20.05.2016;10,54
27.05.2016;10,43
03.06.2016;10,30
10.06.2016;10,30
17.06.2016;10,28
24.06.2016;10,12
01.07.2016;10,19
08.07.2016;9,67
15.07.2016;10,09
22.07.2016;9,92
29.07.2016;9,89
05.08.2016;9,89
12.08.2016;9,87
19.08.2016;9,94
26.08.2016;10,01
02.09.2016;9,78
09.09.2016;10,05
16.09.2016;9,48
23.09.2016;10,08
30.09.2016;10,02
07.10.2016;9,89
14.10.2016;9,83
21.10.2016;9,70
28.10.2016;9,75
04.11.2016;9,77
11.11.2016;9,68
18.11.2016;9,64
25.11.2016;9,50
02.12.2016;9,59
09.12.2016;9,57
16.12.2016;9,45
23.12.2016;9,60
30.12.2016;9,64
06.01.2017;9,50
13.01.2017;9,43
20.01.2017;9,49
27.01.2017;9,57
03.02.2017;9,68
10.02.2017;9,90
17.02.2017;9,96
